OrderID,OrderDate,CustomerID,CustomerName,Region,City,Category,Product,Quantity,UnitPrice,Sales,Discount,Profit,PaymentMethod
ORD00001,2025-04-01,CUST9935,Customer_45,Cairo,Nasr City,Home,Microwave,2,335,670.0,0.0,180.35,Online
ORD00002,2024-10-14,CUST4257,Customer_367,Upper Egypt,Assiut,Electronics,Phone,2,526,841.6,0.2,210.82,Online
ORD00003,2024-03-22,CUST7924,Customer_175,Alexandria,Gleem,Fashion,Watch,5,619,3095.0,0.0,896.63,Card
ORD00004,2024-06-25,CUST5333,Customer_414,Giza,6th October,Home,Blender,1,828,828.0,0.0,157.11,Cash
ORD00005,2024-11-12,CUST6925,Customer_296,Upper Egypt,Luxor,Electronics,Tablet,1,1180,1062.0,0.1,326.41,Cash
ORD00006,2024-07-13,CUST5554,Customer_233,Cairo,Nasr City,Fashion,Jacket,1,1801,1710.95,0.05,541.72,Online
ORD00007,2024-12-15,CUST2169,Customer_312,Delta,Tanta,Home,Vacuum,2,1422,2559.6,0.1,705.05,Online
ORD00008,2024-11-23,CUST4598,Customer_351,Giza,Sheikh Zayed,Fashion,Shoes,4,827,2977.2,0.1,1034.22,Card
ORD00009,2025-04-27,CUST6155,Customer_109,Cairo,Nasr City,Electronics,Headphones,4,598,2392.0,0.0,365.37,Online
ORD00010,2024-10-02,CUST5304,Customer_383,Upper Egypt,Sohag,Sports,Treadmill,3,335,954.75,0.05,273.29,Online
ORD00011,2025-01-21,CUST1771,Customer_441,Upper Egypt,Luxor,Sports,Dumbbells,2,333,532.8,0.2,119.02,Cash
ORD00012,2024-08-27,CUST9669,Customer_129,Giza,Sheikh Zayed,Fashion,Watch,5,180,765.0,0.15,149.48,Online
ORD00013,2024-08-20,CUST1053,Customer_489,Cairo,Maadi,Electronics,Headphones,3,278,750.6,0.1,156.64,Online
ORD00014,2024-03-19,CUST7126,Customer_391,Delta,Zagazig,Fashion,Shirt,3,1773,4255.2,0.2,1073.34,Cash
ORD00015,2025-03-25,CUST6038,Customer_123,Alexandria,Montaza,Electronics,Headphones,4,89,356.0,0.0,118.29,Cash
ORD00016,2024-09-29,CUST3060,Customer_66,Giza,Sheikh Zayed,Electronics,Phone,4,1721,6884.0,0.0,2371.51,Online
ORD00017,2024-04-18,CUST9835,Customer_387,Upper Egypt,Luxor,Fashion,Jacket,5,1836,7344.0,0.2,1511.28,Online
ORD00018,2024-05-06,CUST4681,Customer_33,Giza,Sheikh Zayed,Home,Chair,3,947,2272.8,0.2,483.81,Card
ORD00019,2025-04-08,CUST1514,Customer_441,Cairo,Maadi,Fashion,Shoes,1,195,195.0,0.0,30.66,Card
ORD00020,2025-04-23,CUST8744,Customer_125,Cairo,Maadi,Fashion,Jacket,4,488,1561.6,0.2,207.81,Card
ORD00021,2025-03-18,CUST1887,Customer_345,Upper Egypt,Assiut,Electronics,Phone,4,775,2635.0,0.15,534.31,Online
ORD00022,2024-08-17,CUST3296,Customer_217,Cairo,Nasr City,Sports,Dumbbells,1,559,531.05,0.05,78.36,Cash
